Faculty;Department;Degree;Transcript Grade(4/4);Transcript Grade(100/100);Transcript Grade Contribution;Total Points;Transcript Notu (4/4);Transcript Notu (100/100);Erasmus application CGPA with grades behind SE/UE;UE SE Sayý;UECGPA;ENG 101;ENG 102;Language Points;Transcript Points;Total Points;Duration Preferred;Preferred University #1;Preferred University #2;Preferred University #3;Preferred University #4;Preferred University #5;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.98;99.530;49.333;99.333;Mar.98;99.530;3,98;;3,98;A;A;50;49,33;99,333;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Roskilde Universitesi;"ESIEA (Ecole Superieure d&#039;Informatique, Electronique et Automatique)";ESIEE Paris;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.97;99.300;49.000;99.000;Mar.97;99.300;3,97;;3,97;A;A;50;49;99;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Saarland Üniversitesi;AGH University of Science and Technology;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.92;98.130;47.333;97.333;Mar.92;98.130;3,92;;3,92;A;A;50;47,33;97,333;Güz Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Roskilde Universitesi;Kingston University;Saarland Üniversitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.81;95.560;43.666;93.666;Mar.81;95.560;3,81;;3,81;A;A;50;43,67;93,667;Güz Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Saarland Üniversitesi;ESIEE Paris;Roskilde Universitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.79;95.100;43.000;93.000;Mar.79;95.100;3,79;;3,79;A;A;50;43;93;Güz Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;;;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.71;93.230;40.333;90.333;Mar.71;93.230;3,71;;3,71;A;A;50;40,33;90,333;Bahar Dönemi;Saarland Üniversitesi;Vrije Üniversitesi;"Universita degli Studi di L&#039;Aquila";AGH University of Science and Technology;École Polytechnique Fédérale (EPF);;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.72;93.460;40.667;87.667;Mar.72;93.460;3,72;;3,72;A-;A;47;40,67;87,667;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;AGH University of Science and Technology;;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.72;93.460;40.667;87.667;Mar.72;93.460;3,72;;3,72;A-;A;47;40,67;87,667;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;;;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.60;90.660;36.667;83.667;Mar.60;90.660;3,6;;3,6;A-;A;47;36,67;83,667;Bahar Dönemi;Vrije Üniversitesi;École Polytechnique Fédérale (EPF);Saarland Üniversitesi;AGH University of Science and Technology;Roskilde Universitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.58;90.200;36.000;83.000;Mar.58;90.200;3,58;;3,58;A-;A;47;36;83;Güz Dönemi;Vrije Üniversitesi;"Universita degli Studi di L&#039;Aquila";Roskilde Universitesi;École Polytechnique Fédérale (EPF);Kingston University;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.55;89.500;35.000;82.000;Mar.55;89.500;3,55;;3,55;A-;A;47;35;82;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;AGH University of Science and Technology;;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.55;89.500;35.000;82.000;Mar.55;89.500;3,55;;3,55;A;A-;47;35;82;Bahar Dönemi;Technical University of Berlin;École Polytechnique Fédérale (EPF);Saarland Üniversitesi;TU Universitaet Dortmund;Roskilde Universitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.45;87.160;31.667;81.667;Mar.45;87.160;3,45;;3,45;A;A;50;31,67;81,667;Bahar Dönemi;École Polytechnique Fédérale (EPF);ESIEE Paris;Technical University of Berlin;;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.52;88.800;34.000;78.000;Mar.52;88.800;3,52;;3,52;A-;A-;44;34;78;Güz Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Kingston University;AGH University of Science and Technology;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.68;92.530;39.333;77.333;Mar.68;92.530;3,68;;3,68;B+;B+;38;39,33;77,333;Güz Dönemi;Saarland Üniversitesi;Vrije Üniversitesi;AGH University of Science and Technology;"Universita degli Studi di L&#039;Aquila";Kingston University;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.59;90.430;36.333;77.333;Mar.69;92.760;3,59;1;3,59;B+;A-;41;36,33;77,333;Bahar Dönemi;Technical University of Berlin;Vrije Üniversitesi;TU Universitaet Dortmund;Saarland Üniversitesi;École Polytechnique Fédérale (EPF);;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.31;83.900;27.000;74.000;Mar.31;83.900;3,31;;3,31;A-;A;47;27;74;Güz Dönemi;"Universita degli Studi di L&#039;Aquila";Kingston University;Saarland Üniversitesi;AGH University of Science and Technology;Roskilde Universitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.22;81.800;24.000;74.000;Mar.22;81.800;3,22;;3,22;A;A;50;24;74;Bahar Dönemi;Roskilde Universitesi;Vrije Üniversitesi;Ecole Pour Linformatique Et Les Techniques Avancees (EPITA);AGH University of Science and Technology;"Universita degli Studi di L&#039;Aquila";;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.38;85.530;29.333;73.333;Mar.42;86.460;3,38;1;3,38;B+;A;44;29,33;73,333;Bahar Dönemi;Technical University of Berlin;École Polytechnique Fédérale (EPF);AGH University of Science and Technology;Roskilde Universitesi;Vrije Üniversitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.37;85.300;29.000;73.000;Mar.40;86.000;3,37;2;3,37;B+;A;44;29;73;Güz Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Technical University of Berlin;Saarland Üniversitesi;Kingston University;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.19;81.100;23.000;73.000;Mar.19;81.100;3,19;;3,19;A;A;50;23;73;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Roskilde Universitesi;AGH University of Science and Technology;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.47;87.630;32.333;72.333;Mar.47;87.630;3,47;;3,47;B;A;40;32,33;72,333;Bahar Dönemi;Vrije Üniversitesi;AGH University of Science and Technology;Saarland Üniversitesi;Roskilde Universitesi;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.26;82.730;25.333;72.333;Mar.26;82.730;3,26;;3,26;A-;A;47;25,33;72,333;1 Akademik Yýl;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Kingston University;Saarland Üniversitesi;Technical University of Berlin;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.14;79.930;21.333;71.333;Mar.14;79.930;3,14;;3,14;A;A;50;21,33;71,333;Bahar Dönemi;Vrije Üniversitesi;École Polytechnique Fédérale (EPF);Roskilde Universitesi;Saarland Üniversitesi;"Universita degli Studi di L&#039;Aquila";;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.40;86.000;30.000;71.000;Mar.40;86.000;3,4;;3,4;B+;A-;41;30;71;Bahar Dönemi;École Polytechnique Fédérale (EPF);Technical University of Berlin;TU Universitaet Dortmund;Saarland Üniversitesi;Vrije Üniversitesi;;ESIEE;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Mar.37;85.300;29.000;70.000;Mar.37;85.300;3,37;;3,37;B+;A-;41;29;70;Bahar Dönemi;Vrije Üniversitesi;Technical University of Berlin;Kingston University;Saarland Üniversitesi;AGH University of Science and Technology;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;1.Mar;82.730;25.333;69.333;1.Mar;82.730;3,26;;3,26;A-;A-;44;25,33;69,333;Güz Dönemi;École Polytechnique Fédérale (EPF);0;Vrije Üniversitesi;Saarland Üniversitesi;Kingston University;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;3.Ara;79.460;20.667;67.667;3.Ara;79.460;3,12;;3,12;A-;A;47;20,67;67,667;Güz Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Technical University of Berlin;Saarland Üniversitesi;AGH University of Science and Technology;;ESIEE;BA
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Tem.22;78.300;19.000;66.000;Tem.22;78.300;3,07;;3,07;A-;A;47;19;66;Güz Dönemi;Kingston University;"Universita degli Studi di L&#039;Aquila";Roskilde Universitesi;Vrije Üniversitesi;Saarland Üniversitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.93;75.030;14.333;64.333;Þub.98;76.200;2,93;3;2,93;A;A;50;14,33;64,333;Bahar Dönemi;AGH University of Science and Technology;"Universita degli Studi di L&#039;Aquila";Vrije Üniversitesi;Roskilde Universitesi;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;1.Mar;81.100;23.000;64.000;Mar.19;81.100;3,19;;3,19;B+;A-;41;23;64;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;;;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;3.Eki;79.000;20.000;64.000;1.Mar;80.160;3,1;2;3,1;A-;A-;44;20;64;Bahar Dönemi;AGH University of Science and Technology;"Universita degli Studi di L&#039;Aquila";Vrije Üniversitesi;;;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;3.May;77.830;18.333;62.333;3.May;77.830;3,05;;3,05;B+;A;44;18,33;62,333;Bahar Dönemi;École Polytechnique Fédérale (EPF);TU Universitaet Dortmund;Vrije Üniversitesi;Kingston University;Roskilde Universitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.22;77.130;17.333;57.333;Þub.22;77.130;3,02;;3,02;B;A;40;17,33;57,333;Bahar Dönemi;Roskilde Universitesi;AGH University of Science and Technology;"Universita degli Studi di L&#039;Aquila";Saarland Üniversitesi;ESIEE Paris;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.79;71.760;9.667;53.667;Þub.79;71.760;2,79;1;2,79;B+;A;44;9,67;53,667;Güz Dönemi;Vrije Üniversitesi;Roskilde Universitesi;Technical University of Berlin;"Universita degli Studi di L&#039;Aquila";AGH University of Science and Technology;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.89;74.100;13.000;51.000;Þub.92;74.800;2,89;1;2,89;B+;B+;38;13;51;Güz Dönemi;AGH University of Science and Technology;"Universita degli Studi di L&#039;Aquila";Saarland Üniversitesi;Vrije Üniversitesi;;;ESIEE;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.76;71.060;8.667;49.667;Þub.76;71.060;2,76;2;2,76;B+;A-;41;8,67;49,667;Güz Dönemi;"Universita degli Studi di L&#039;Aquila";AGH University of Science and Technology;Vrije Üniversitesi;Saarland Üniversitesi;Roskilde Universitesi;;ESIEE;EPITA
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.64;68.260;4.666;48.666;Þub.67;68.960;2,64;1;2,64;A;B+;44;4,67;48,667;Bahar Dönemi;Vrije Üniversitesi;Roskilde Universitesi;Kingston University;"Universita degli Studi di L&#039;Aquila";École Polytechnique Fédérale (EPF);;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.63;68.030;4.333;48.333;Þub.63;68.030;2,63;;2,63;B+;A;44;4,33;48,333;1 Akademik Yýl;AGH University of Science and Technology;Roskilde Universitesi;Vrije Üniversitesi;"Universita degli Studi di L&#039;Aquila";Saarland Üniversitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.99;76.430;16.333;46.333;Þub.99;76.430;2,99;;2,99;B+;B-;30;16,33;46,333;Güz Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;Roskilde Universitesi;Technical University of Berlin;AGH University of Science and Technology;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.80;72.000;10.000;46.000;Þub.80;72.000;2,8;1;2,8;B-;A;36;10;46;Bahar Dönemi;Vrije Üniversitesi;Saarland Üniversitesi;"Universita degli Studi di L&#039;Aquila";Roskilde Universitesi;AGH University of Science and Technology;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.85;73.160;11.667;45.667;Þub.85;73.160;2,85;;2,85;B;B+;34;11,67;45,667;1 Akademik Yýl;Roskilde Universitesi;Vrije Üniversitesi;École Polytechnique Fédérale (EPF);Kingston University;Saarland Üniversitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.80;72.000;10.000;44.000;Þub.80;72.000;2,8;1;2,8;B;B+;34;10;44;Bahar Dönemi;Roskilde Universitesi;AGH University of Science and Technology;Kingston University;Vrije Üniversitesi;"Universita degli Studi di L&#039;Aquila";;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.72;70.130;7.333;41.333;Þub.72;70.130;2,72;;2,72;B+;B;34;7,33;41,333;Güz Dönemi;ESIEE Paris;Vrije Üniversitesi;École Polytechnique Fédérale (EPF);Technical University of Berlin;Kingston University;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.56;66.400;2.000;36.000;Þub.56;66.400;2,56;;2,56;B;B+;34;2;36;1 Akademik Yýl;Vrije Üniversitesi;École Polytechnique Fédérale (EPF);AGH University of Science and Technology;Kingston University;Saarland Üniversitesi;;;
Mühendislik Fakültesi;Bilgisayar Mühendisliði;Lisans;Þub.80;72.000;10.000;36.000;Þub.81;72.230;2,8;2;2,8;B;B-;26;10;36;Bahar Dönemi;École Polytechnique Fédérale (EPF);Vrije Üniversitesi;"Universita degli Studi di L&#039;Aquila";Roskilde Universitesi;;;;
